file,protocol,load_nominal_Nm,rpm_nominal,win_start_s,rpm,rpm_drift,f1_Hz,slip_pct,off_2s_Hz,df_Hz,resolvable,smear_Hz,lsb1_dB,usb1_dB,lsb1_snr,usb1_snr,headline_snr,naive_rise_dB,comb_coherence,unbalance_pct,ctrl_fr_snr,lsb2_snr,usb2_snr,lsb3_snr,usb3_snr
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,42.0,489.6,0.4,8.308,1.779,0.296,0.125,False,0.014,0.0,0.0,52.8,52.5,52.8,41.0,0.33,0.11,33.7,20.3,18.7,5.7,4.4
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,44.0,489.6,0.4,8.31,1.794,0.298,0.125,False,0.014,0.0,0.0,54.5,54.5,54.5,41.0,0.17,0.11,31.7,17.3,16.6,7.1,7.3
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,46.0,489.6,1.0,8.312,1.836,0.305,0.125,False,0.034,0.0,0.0,54.7,54.7,54.7,41.0,0.17,0.11,33.9,19.8,21.8,7.9,7.7
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,60.0,988.5,0.1,16.739,1.58,0.529,0.125,True,0.002,-32.5,-36.0,23.0,14.5,23.0,9.0,0.33,0.21,33.4,-2.4,4.1,4.9,2.5
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,62.0,987.6,2.7,16.739,1.67,0.559,0.125,True,0.09,-32.4,-36.0,21.2,16.1,21.2,9.1,0.67,0.21,32.9,5.2,-1.5,-0.3,7.1
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,64.0,988.4,2.0,16.739,1.593,0.533,0.125,True,0.068,-33.0,-36.5,19.0,15.3,19.0,8.5,0.33,0.21,33.0,2.6,-1.4,7.7,3.2
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,66.0,988.4,1.0,16.74,1.595,0.534,0.125,True,0.035,-32.9,-36.3,16.9,16.3,16.9,8.6,0.5,0.21,32.3,1.9,-2.6,-1.2,1.3
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,68.0,986.5,0.1,16.74,1.778,0.595,0.125,True,0.003,-33.8,-37.5,14.6,15.0,15.0,7.7,0.5,0.21,31.8,8.4,4.0,2.4,8.0
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,70.0,988.2,1.7,16.74,1.612,0.54,0.125,True,0.058,-32.4,-35.2,19.5,19.5,19.5,9.1,0.33,0.21,32.3,1.9,-3.0,-0.5,9.2
broken_bar_H_speed_circulation_20Nm_1000rpm_250706123037.csv,speed,20,1000,72.0,988.2,1.7,16.74,1.609,0.539,0.125,True,0.057,-33.8,-37.4,19.3,13.3,19.3,7.7,0.5,0.21,33.5,0.1,0.3,6.9,2.7
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,10.0,1978.5,0.2,33.383,1.223,0.816,0.125,True,0.008,-38.7,-38.5,16.5,17.5,17.5,5.4,1.0,0.28,34.6,13.3,11.3,9.9,10.9
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,12.0,1978.5,0.2,33.382,1.221,0.815,0.125,True,0.005,-38.2,-39.0,14.2,12.2,14.2,5.8,0.83,0.28,31.8,6.0,11.1,6.8,5.1
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,14.0,1978.4,0.0,33.384,1.229,0.821,0.125,True,0.0,-38.6,-39.2,13.2,12.3,13.2,5.3,1.0,0.29,31.9,10.4,13.2,8.5,3.9
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,18.0,1978.2,0.5,33.384,1.239,0.827,0.125,True,0.016,-39.2,-38.8,13.3,12.5,13.3,5.2,1.0,0.28,31.2,12.9,10.3,10.7,13.2
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,20.0,1978.1,0.2,33.384,1.243,0.83,0.125,True,0.008,-38.9,-39.0,13.1,11.2,13.1,5.0,1.0,0.28,32.6,10.2,9.6,11.8,13.7
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,22.0,1971.0,0.1,33.383,1.596,1.065,0.125,True,0.004,-38.8,-38.9,20.0,19.0,20.0,5.1,1.0,0.28,32.5,12.6,20.7,8.4,10.5
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,34.0,1476.4,4.3,24.997,1.564,0.782,0.125,True,0.144,-39.5,-40.4,12.5,7.6,12.5,8.7,1.0,0.23,32.6,10.4,7.8,4.8,2.5
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,36.0,1476.3,0.1,24.997,1.569,0.784,0.125,True,0.003,-41.1,-39.8,12.8,15.0,15.0,8.4,1.0,0.24,31.7,16.9,15.4,3.0,11.1
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,38.0,1476.3,4.1,24.997,1.57,0.785,0.125,True,0.137,-40.8,-39.9,13.3,14.9,14.9,8.2,1.0,0.21,31.2,17.2,18.0,2.2,5.1
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,40.0,1476.2,0.2,24.997,1.572,0.786,0.125,True,0.005,-40.8,-40.1,13.7,14.6,14.6,8.1,1.0,0.22,33.0,16.0,18.1,4.2,8.4
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,42.0,1476.1,0.1,24.996,1.58,0.79,0.125,True,0.003,-40.6,-40.0,14.9,15.7,15.7,8.2,1.0,0.26,32.5,13.4,18.6,6.1,8.4
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,44.0,1476.1,4.2,24.996,1.581,0.79,0.125,True,0.139,-40.8,-40.2,14.5,15.5,15.5,8.0,1.0,0.28,32.7,15.6,16.1,9.1,3.5
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,46.0,1476.1,4.0,24.997,1.581,0.791,0.125,True,0.134,-40.9,-39.7,14.9,16.2,16.2,8.4,1.0,0.28,32.3,15.6,13.5,6.3,5.3
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,48.0,1480.0,3.9,24.997,1.322,0.661,0.125,True,0.131,-38.7,-36.4,7.3,6.5,7.3,11.7,0.5,0.25,32.6,7.7,5.0,3.3,6.9
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,60.0,1976.7,0.2,33.384,1.317,0.879,0.125,True,0.005,-39.2,-39.0,12.3,15.4,15.4,4.9,1.0,0.28,37.3,14.2,8.3,2.7,10.1
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,62.0,1976.6,0.1,33.383,1.314,0.877,0.125,True,0.005,-39.2,-39.0,18.8,15.1,18.8,4.9,1.0,0.28,38.0,3.5,9.8,8.7,3.5
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,64.0,1976.5,0.1,33.38,1.313,0.877,0.125,True,0.004,-39.4,-38.6,14.0,13.3,14.0,5.3,1.0,0.28,35.3,3.6,8.0,7.4,7.4
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,66.0,1976.5,0.2,33.383,1.321,0.882,0.125,True,0.005,-39.0,-38.7,13.6,16.6,16.6,5.3,1.0,0.28,33.7,12.3,7.6,9.1,9.7
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,68.0,1976.5,0.0,33.384,1.326,0.885,0.125,True,0.001,-38.9,-38.8,16.6,16.7,16.7,5.1,1.0,0.28,32.5,11.9,10.8,9.7,9.3
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,70.0,1976.4,0.1,33.384,1.329,0.887,0.125,True,0.002,-39.1,-38.6,16.2,16.5,16.5,5.3,1.0,0.28,33.8,12.3,13.9,9.7,7.7
broken_bar_H_speed_circulation_20Nm_2000rpm_250706123447.csv,speed,20,2000,72.0,1976.4,0.6,33.384,1.329,0.888,0.125,True,0.02,-39.1,-39.2,14.5,14.7,14.7,4.9,1.0,0.27,36.7,15.3,11.5,8.0,8.5
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,10.0,2976.2,0.1,50.124,1.039,1.042,0.125,True,0.002,-36.7,-35.9,33.8,33.7,33.8,5.2,1.0,0.28,37.5,11.0,11.0,0.5,1.7
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,12.0,2976.2,0.1,50.124,1.039,1.042,0.125,True,0.004,-36.7,-35.9,33.1,36.2,36.2,5.3,1.0,0.39,37.1,13.1,12.7,0.8,2.1
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,14.0,2976.2,0.0,50.124,1.04,1.043,0.125,True,0.001,-36.8,-35.8,30.0,34.7,34.7,5.4,1.0,0.33,37.1,8.2,13.6,1.4,-0.9
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,16.0,2976.2,0.0,50.124,1.04,1.042,0.125,True,0.0,-36.7,-35.9,31.8,32.8,32.8,5.3,1.0,0.3,38.0,16.2,12.6,-1.4,1.2
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,18.0,2976.2,0.1,50.124,1.04,1.042,0.125,True,0.002,-36.6,-35.9,33.7,34.8,34.8,5.3,1.0,0.41,37.8,10.0,13.0,0.7,0.9
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,20.0,2976.1,0.0,50.124,1.04,1.043,0.125,True,0.0,-36.6,-36.0,28.6,31.0,31.0,5.2,1.0,0.31,37.1,9.1,9.0,1.7,-3.5
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,22.0,2976.1,0.1,50.124,1.041,1.044,0.125,True,0.002,-36.6,-35.9,29.1,30.1,30.1,5.3,1.0,0.29,36.2,7.5,10.7,1.1,-4.4
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,34.0,2479.6,0.2,41.826,1.192,0.997,0.125,True,0.006,-35.9,-35.7,18.1,13.8,18.1,2.7,1.0,0.31,37.0,13.5,9.6,6.2,9.9
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,36.0,2479.7,0.2,41.828,1.195,1.0,0.125,True,0.005,-35.7,-36.8,19.6,12.9,19.6,2.7,1.0,0.31,37.1,10.4,13.5,8.3,9.0
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,38.0,2479.7,0.1,41.829,1.197,1.001,0.125,True,0.003,-36.3,-36.0,13.0,14.0,14.0,2.4,1.0,0.32,36.9,13.4,12.8,5.5,7.9
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,40.0,2479.7,0.3,41.827,1.193,0.998,0.125,True,0.008,-36.0,-35.6,15.9,15.8,15.9,2.8,1.0,0.32,36.3,15.1,11.3,8.9,10.3
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,42.0,2479.5,0.2,41.825,1.193,0.998,0.125,True,0.005,-36.3,-36.9,15.8,14.4,15.8,2.1,1.0,0.32,36.2,12.6,13.8,9.5,6.9
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,44.0,2479.5,0.1,41.827,1.198,1.002,0.125,True,0.004,-37.1,-36.9,13.5,17.6,17.6,1.5,1.0,0.31,37.9,14.1,12.9,6.6,4.3
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,46.0,2479.5,0.0,41.827,1.202,1.006,0.125,True,0.001,-36.7,-36.1,17.6,21.1,21.1,2.3,1.0,0.32,37.1,14.3,17.0,6.7,8.3
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,48.0,2479.5,0.0,41.825,1.195,1.0,0.125,True,0.001,-37.3,-34.9,9.3,7.4,9.3,3.4,0.83,0.33,36.4,13.8,7.1,9.7,3.6
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,60.0,2975.1,0.5,50.124,1.075,1.078,0.125,True,0.017,-36.6,-35.8,35.5,28.4,35.5,5.3,0.67,0.33,37.5,17.6,16.4,4.4,2.7
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,62.0,2975.1,0.4,50.124,1.077,1.08,0.125,True,0.012,-36.6,-35.8,32.5,30.2,32.5,5.4,0.67,0.39,37.3,16.6,16.8,9.4,6.0
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,64.0,2975.0,0.0,50.124,1.079,1.082,0.125,True,0.001,-36.5,-35.9,33.8,35.0,35.0,5.3,0.67,0.35,38.0,18.3,19.3,3.2,0.6
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,66.0,2975.0,0.1,50.124,1.079,1.082,0.125,True,0.002,-36.5,-35.9,31.5,36.5,36.5,5.3,0.67,0.37,38.0,18.9,15.2,-1.1,0.7
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,68.0,2975.0,0.1,50.124,1.079,1.082,0.125,True,0.002,-36.6,-35.9,31.9,34.0,34.0,5.3,0.67,0.31,37.5,21.4,17.4,-1.2,4.5
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,70.0,2974.9,0.1,50.124,1.082,1.085,0.125,True,0.004,-36.7,-35.9,31.6,28.7,31.6,5.2,0.67,0.32,38.5,19.1,17.1,1.5,5.2
broken_bar_H_speed_circulation_20Nm_3000rpm_250706123855.csv,speed,20,3000,72.0,2974.8,0.5,50.123,1.085,1.087,0.125,True,0.016,-36.6,-35.8,33.1,32.4,33.1,5.4,0.83,0.35,38.6,18.3,18.9,2.0,4.1
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,10.0,967.5,0.0,16.739,3.668,1.228,0.125,True,0.002,-37.8,-37.9,28.0,26.3,28.0,3.7,1.0,0.19,29.9,20.7,21.1,16.3,21.7
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,12.0,967.5,0.1,16.739,3.669,1.228,0.125,True,0.002,-37.6,-37.9,27.8,26.8,27.8,3.9,1.0,0.19,30.6,19.9,21.7,13.3,18.0
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,14.0,967.5,0.1,16.739,3.666,1.227,0.125,True,0.002,-37.6,-37.8,29.4,28.2,29.4,3.9,1.0,0.19,31.2,19.9,22.1,16.5,18.2
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,16.0,967.5,1.7,16.739,3.666,1.227,0.125,True,0.056,-38.0,-37.6,26.5,25.2,26.5,3.9,1.0,0.19,29.5,18.2,19.6,16.2,15.9
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,18.0,967.5,0.1,16.74,3.674,1.23,0.125,True,0.002,-38.1,-38.0,26.9,25.1,26.9,3.5,1.0,0.19,30.2,21.2,18.0,14.7,16.3
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,20.0,967.4,0.2,16.74,3.68,1.232,0.125,True,0.008,-38.0,-37.7,27.1,26.8,27.1,3.8,1.0,0.19,29.0,18.1,23.6,10.2,14.0
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,22.0,967.3,2.0,16.739,3.686,1.234,0.125,True,0.067,-37.8,-37.6,28.7,27.1,28.7,3.8,1.0,0.2,28.5,17.6,24.6,14.7,15.5
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,34.0,477.2,0.4,8.311,4.31,0.716,0.125,True,0.012,-39.9,-38.9,0.7,1.6,1.6,2.1,0.83,0.1,26.6,13.5,8.0,0.8,6.0
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,36.0,477.1,0.8,8.313,4.344,0.722,0.125,True,0.028,-40.6,-40.1,-0.1,2.1,2.1,1.0,0.83,0.09,24.5,15.1,12.8,2.4,3.1
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,38.0,477.1,0.8,8.31,4.301,0.715,0.125,True,0.027,-40.6,-38.4,-0.5,4.8,4.8,2.7,0.83,0.09,24.2,12.8,1.7,6.8,0.8
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,40.0,477.5,0.5,8.307,4.197,0.697,0.125,True,0.017,-40.9,-40.1,-0.8,4.3,4.3,0.9,0.67,0.1,27.8,10.1,-1.2,5.5,3.3
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,42.0,477.1,0.5,8.309,4.297,0.714,0.125,True,0.015,-39.1,-40.9,2.3,2.6,2.6,1.9,1.0,0.1,27.8,7.8,1.7,4.5,4.1
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,44.0,477.1,0.0,8.306,4.272,0.71,0.125,True,0.002,-39.3,-40.9,2.1,1.3,2.1,1.8,0.83,0.1,26.0,11.4,6.9,5.8,8.2
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,46.0,477.1,0.9,8.307,4.282,0.711,0.125,True,0.029,-39.9,-38.4,0.9,4.2,4.2,2.7,1.0,0.1,26.7,7.4,7.0,5.8,10.3
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,60.0,968.5,0.0,16.739,3.568,1.195,0.125,True,0.001,-37.7,-37.9,28.9,24.8,28.9,3.8,1.0,0.19,28.1,19.6,29.6,12.9,21.8
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,62.0,968.5,0.1,16.739,3.568,1.194,0.125,True,0.002,-37.6,-38.0,24.8,24.4,24.8,3.9,1.0,0.19,30.2,18.4,26.4,19.9,17.7
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,64.0,968.5,0.1,16.739,3.572,1.196,0.125,True,0.003,-37.7,-37.8,30.3,26.3,30.3,3.8,1.0,0.19,29.3,16.9,22.8,16.1,14.2
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,66.0,968.4,1.9,16.739,3.579,1.198,0.125,True,0.062,-37.6,-37.9,28.5,26.2,28.5,3.9,1.0,0.18,29.1,19.8,24.8,14.9,15.9
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,68.0,968.4,0.1,16.739,3.581,1.199,0.125,True,0.002,-37.7,-38.1,24.8,24.3,24.8,3.8,1.0,0.18,30.0,22.8,21.1,20.1,20.3
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,70.0,968.3,0.1,16.739,3.589,1.202,0.125,True,0.003,-37.7,-38.1,28.6,29.0,29.0,3.8,1.0,0.18,29.4,21.4,19.9,14.3,20.6
broken_bar_H_speed_circulation_40Nm_1000rpm_250706123241.csv,speed,40,1000,72.0,966.6,0.3,16.739,3.763,1.26,0.125,True,0.009,-37.8,-38.0,26.3,24.4,26.3,3.7,1.0,0.19,30.3,18.6,19.2,17.3,16.1
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,10.0,1939.6,0.0,33.384,3.166,2.114,0.125,True,0.0,-35.7,-34.4,40.3,42.9,42.9,9.6,1.0,0.27,34.6,32.8,31.5,23.4,26.1
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,12.0,1939.6,0.1,33.383,3.165,2.113,0.125,True,0.003,-35.7,-34.4,40.0,43.1,43.1,9.5,1.0,0.27,32.7,27.6,28.8,19.2,19.4
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,14.0,1939.6,0.1,33.381,3.159,2.109,0.125,True,0.003,-35.6,-34.5,37.0,39.8,39.8,9.5,1.0,0.28,35.4,29.2,28.4,17.1,19.5
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,16.0,1939.5,0.1,33.382,3.163,2.112,0.125,True,0.003,-35.6,-34.5,37.2,38.2,38.2,9.4,1.0,0.27,34.8,31.6,30.8,21.4,22.2
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,18.0,1939.5,0.1,33.382,3.165,2.113,0.125,True,0.004,-35.7,-34.5,39.8,37.3,39.8,9.4,1.0,0.27,32.0,28.0,29.0,20.6,22.5
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,20.0,1939.4,0.2,33.377,3.156,2.107,0.125,True,0.005,-35.4,-34.7,37.0,37.1,37.1,9.3,1.0,0.27,32.7,25.9,26.5,16.8,24.3
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,22.0,1939.4,0.2,33.378,3.161,2.11,0.125,True,0.005,-35.3,-34.6,37.8,40.2,40.2,9.4,1.0,0.27,36.9,28.6,29.4,19.1,21.4
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,34.0,1450.3,4.1,24.996,3.299,1.649,0.125,True,0.137,-35.6,-34.7,29.5,25.1,29.5,13.4,1.0,0.24,30.9,25.8,25.1,12.5,17.3
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,36.0,1450.1,0.2,24.996,3.311,1.655,0.125,True,0.005,-35.6,-35.0,37.5,41.2,41.2,13.1,1.0,0.24,30.9,26.2,28.6,14.1,17.2
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,38.0,1450.1,0.1,24.996,3.314,1.657,0.125,True,0.002,-35.6,-35.1,40.1,43.3,43.3,13.1,1.0,0.24,30.9,27.2,31.7,15.8,22.9
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,40.0,1450.0,0.2,24.997,3.317,1.658,0.125,True,0.006,-35.7,-35.1,39.7,40.1,40.1,13.0,1.0,0.24,31.6,25.9,29.6,13.3,24.5
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,42.0,1450.1,0.1,24.997,3.316,1.658,0.125,True,0.002,-35.8,-35.1,40.0,40.5,40.5,13.1,1.0,0.24,32.0,26.1,30.4,14.1,19.2
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,44.0,1450.0,0.2,24.997,3.322,1.661,0.125,True,0.007,-35.8,-34.9,39.2,44.6,44.6,13.2,1.0,0.24,31.0,25.7,25.9,17.7,16.3
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,46.0,1449.9,0.3,24.997,3.33,1.665,0.125,True,0.01,-35.7,-35.0,36.8,43.3,43.3,13.2,1.0,0.24,30.9,24.5,27.9,16.3,15.9
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,48.0,1450.0,3.8,24.997,3.324,1.662,0.125,True,0.127,-35.8,-33.9,32.9,19.6,32.9,14.3,1.0,0.24,31.1,31.1,22.2,19.1,17.3
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,60.0,1938.4,0.1,33.383,3.225,2.153,0.125,True,0.004,-35.6,-34.4,39.1,39.7,39.7,9.5,1.0,0.27,31.9,29.6,29.8,20.3,22.7
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,62.0,1938.3,0.2,33.382,3.225,2.153,0.125,True,0.006,-35.5,-34.3,40.7,42.3,42.3,9.6,1.0,0.27,34.9,29.4,28.3,22.9,22.6
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,64.0,1938.3,0.1,33.382,3.227,2.155,0.125,True,0.003,-35.6,-34.3,34.9,40.6,40.6,9.6,1.0,0.27,35.2,32.7,30.9,23.1,23.8
broken_bar_H_speed_circulation_40Nm_2000rpm_250706123644.csv,speed,40,2000,66.0,1938.3,6.9,33.381,3.226,2.154,0.125,True,0.23,-35.5,-34.4,38.7,42.1,42.1,9.5,1.0,0.27,32.4,35.5,32.1,19.5,23.0
