protocol,file,plateau_idx,load_nominal_Nm,rpm_nominal,rpm_meas,rpm_level,on_grid,plateau_dur_s,n_sub,speed_jitter_pct,f1_Hz,fr_Hz,slip_pct,sb_offset_Hz,sb_floor_bb_dB,cur_sb_1x_dB,I_rms,thd_pct,unbalance_pct,vib_1x_c2,vib_2x_c2,vib_3x_c2,vib_1x_c3,vib_2x_c3,vib_3x_c3,vib_1x_c4,vib_2x_c4,vib_3x_c4,sb_floor_bb_dB__std_in,sb_floor_bb_dB__ptp_in,cur_sb_1x_dB__std_in,cur_sb_1x_dB__ptp_in,vib_1x_c2__std_in,vib_1x_c2__ptp_in,vib_1x_c3__std_in,vib_1x_c3__ptp_in,vib_1x_c4__std_in,vib_1x_c4__ptp_in
speed,health_speed_circulation_40Nm_1000rpm_250706092103.csv,1,40,1000,477.6,500,True,18.0,8,62.007,8.316,7.96,4.279,0.712,-41.98,-54.18,0.183,1.583,0.055,1.9e-05,7e-06,3e-06,0.000234,1.2e-05,6e-06,1.5e-05,2.5e-05,7e-06,,,4.309,10.869,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_1000rpm_250706092103.csv,2,40,1000,968.6,950,True,18.0,8,62.007,16.733,16.143,3.525,1.18,-41.064,-53.499,0.228,1.375,0.129,5.1e-05,4.2e-05,4e-06,0.000167,3.1e-05,4e-06,0.001022,1.1e-05,4e-06,1.283,4.308,0.397,1.301,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_2000rpm_250706092658.csv,0,40,2000,1944.0,1950,True,18.0,8,58.509,33.387,32.4,2.957,1.975,-43.841,-51.312,0.307,1.145,0.189,0.000462,0.000683,1e-05,0.000608,0.000253,1.2e-05,0.000419,0.000147,1e-05,0.428,1.225,2.955,7.88,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_2000rpm_250706092658.csv,1,40,2000,1450.6,1450,True,18.0,8,58.509,24.997,24.177,3.279,1.639,-48.276,-52.896,0.267,1.226,0.168,0.000261,8.7e-05,7e-06,0.000209,6.6e-05,1.5e-05,0.000255,4.2e-05,5e-06,0.477,1.585,0.305,0.953,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_2000rpm_250706092658.csv,2,40,2000,1939.3,1950,False,18.0,8,58.509,33.386,32.322,3.185,2.127,-42.037,-52.458,0.307,1.092,0.19,0.000455,0.000677,1.8e-05,0.000613,0.000255,2.2e-05,0.000422,0.000139,6e-06,0.541,1.767,3.086,8.557,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_3000rpm_250706093136.csv,0,40,3000,2920.0,2900,False,18.0,8,70.716,50.121,48.667,2.903,2.91,-43.054,-48.394,0.379,1.557,0.205,0.001813,0.000183,5.6e-05,0.004846,0.000382,0.000125,0.000312,0.000264,9e-06,0.507,1.442,0.283,0.976,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_3000rpm_250706093136.csv,1,40,3000,2434.0,2450,False,18.0,8,70.716,41.831,40.566,3.023,2.529,-38.366,-50.633,0.343,1.143,0.2,0.000612,0.000259,3.7e-05,0.000506,0.001307,7.6e-05,0.000385,0.000323,6e-06,1.366,4.081,0.3,0.962,0.0,0.0,0.0,0.0,0.0,0.0
speed,health_speed_circulation_40Nm_3000rpm_250706093136.csv,2,40,3000,2916.7,2900,False,18.0,8,70.716,50.122,48.612,3.012,3.019,-41.795,-48.202,0.378,1.558,0.174,0.001812,0.00019,2.1e-05,0.004907,0.00038,5.4e-05,0.000311,0.000264,8e-06,0.727,1.995,0.28,0.781,0.0,0.0,0.0,0.0,0.0,0.0
torque,health_torque_circulation_20Nm_1000rpm_250706090028.csv,0,20,1000,989.9,1000,True,18.0,8,0.514,16.74,16.499,1.444,0.483,-37.858,-50.501,0.163,1.178,0.306,6.3e-05,2.4e-05,4e-06,0.000187,3.1e-05,1.9e-05,0.000687,6e-06,7e-06,,,0.96,2.819,0.0,0.0,0.0,0.0,0.0,0.0
torque,health_torque_circulation_20Nm_2000rpm_250706090534.csv,0,20,2000,1979.8,2000,True,18.0,8,0.465,33.397,32.997,1.198,0.8,-36.054,-48.192,0.18,1.227,0.3,0.000643,0.00027,8e-06,0.000524,0.000131,9e-06,0.000373,3.8e-05,1e-05,,,3.555,11.241,0.0,0.0,0.0,0.0,0.0,0.0
torque,health_torque_circulation_20Nm_3000rpm_250706090744.csv,0,20,3000,2977.3,3000,True,18.0,8,1.571,50.134,49.621,1.024,1.026,-37.813,-42.846,0.195,1.332,0.343,0.000833,1.6e-05,1.9e-05,0.004435,8.7e-05,3.1e-05,0.000362,8.4e-05,8e-06,1.391,4.614,2.118,5.961,0.0,0.0,0.001,0.003,0.0,0.0
torque,health_torque_circulation_40Nm_1000rpm_250706090954.csv,0,40,1000,972.5,950,True,18.0,8,1.092,16.743,16.208,3.198,1.071,-33.785,-50.75,0.195,1.293,0.216,4.3e-05,2.3e-05,6e-06,0.000135,2.3e-05,8e-06,0.000683,6e-06,4e-06,3.246,9.796,1.436,4.737,0.0,0.0,0.0,0.0,0.0,0.0
torque,health_torque_circulation_40Nm_2000rpm_250706091200.csv,0,40,2000,1997.6,2000,True,8.9,3,0.954,33.395,33.293,0.306,0.204,,-43.848,0.171,1.218,0.298,0.000766,0.000474,3.5e-05,0.000473,0.000736,4.4e-05,0.000421,0.000194,1.2e-05,,,3.573,8.549,0.0,0.0,0.0,0.0,0.0,0.0
torque,health_torque_circulation_40Nm_2000rpm_250706091200.csv,1,40,2000,1943.1,1950,True,18.0,8,0.954,33.389,32.385,3.005,2.007,-47.72,-51.986,0.305,1.204,0.195,0.000487,0.000661,1.6e-05,0.000612,0.000261,1.6e-05,0.000427,0.000134,7e-06,0.381,1.029,3.915,12.001,0.0,0.0,0.0,0.0,0.0,0.0
torque,health_torque_circulation_40Nm_3000rpm_250706091413.csv,0,40,3000,3007.9,3000,True,7.9,2,0.908,50.138,50.132,0.013,0.013,,-44.004,0.17,1.334,0.245,0.001073,0.001678,3.4e-05,0.005014,0.001105,7.3e-05,0.000468,0.000412,1.5e-05,,,1.434,2.868,0.0,0.0,0.0,0.0,0.0,0.0
torque,health_torque_circulation_40Nm_3000rpm_250706091413.csv,1,40,3000,2921.6,2900,False,18.0,8,0.908,50.123,48.694,2.85,2.857,-41.415,-48.018,0.374,1.534,0.203,0.00182,0.000166,4.2e-05,0.00519,0.000395,0.000119,0.000299,0.000255,8e-06,1.234,4.113,0.371,1.138,0.0,0.0,0.0,0.0,0.0,0.0
